freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
23.2-23.35,0.0232-0.0234,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
23.35-24.45,0.0234-0.0244,kHz,,,,FIXED | MOBILE except aeronautical mobile,US340,FIXED,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
23.55-23.6,0.0236-0.0236,kHz,,,,FIXED | MOBILE,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
23.6-24,0.0236-0.0240,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24-24.05,0.0240-0.0241,kHz,,,,,5.150 US211,AMATEUR | AMATEUR-SATELLITE,5.150 US211,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.05-24.25,0.0241-0.0243,kHz,,,,RADIOLOCATION G59 | Earth exploration-satellite (active),5.150,Amateur | Earth exploration-satellite (active) | Radiolocation,5.150,"Ham radio transceivers, SDR receivers; Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.25-24.45,0.0243-0.0244,kHz,RADIONAVIGATION,,FIXED | MOBILE | RADIONAVIGATION,,,FIXED | MOBILE,,"GPS receivers, GNSS devices; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.45-24.65,0.0244-0.0246,kHz,FIXED | LAND MOBILE | RADIOLOCATION 5.132A,,FIXED | LAND MOBILE | Radiolocation 5.132A,FIXED | MOBILE except aeronautical mobile | RADIOLOCATION 5.132A,US340,FIXED | RADIOLOCATION 5.132A,US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.65-24.89,0.0246-0.0249,kHz,FIXED | LAND MOBILE,,,FIXED | MOBILE except aeronautical mobile,US340,FIXED,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.65-24.75,0.0246-0.0248,kHz,INTER-SATELLITE | RADIOLOCATION-SATELLITE | (Earth-to-space),,FIXED | FIXED-SATELLITE | (Earth-to-space) 5.532B | INTER-SATELLITE | MOBILE,INTER-SATELLITE | RADIOLOCATION-SATELLITE (Earth-to-space),,,,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.75-25.25,0.0248-0.0253,kHz,FIXED-SATELLITE | (Earth-to-space) 5.535,,FIXED | FIXED-SATELLITE | (Earth-to-space) 5.535 | MOBILE,,,FIXED | FIXED-SATELLITE | (Earth-to-space) NG65 | MOBILE,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.89-24.99,0.0249-0.0250,kHz,,,,,US340,AMATEUR | AMATEUR-SATELLITE,US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
24.99-25.01,0.0250-0.0250,kHz,,,,STANDARD FREQUENCY AND TIME SIGNAL (25 MHz),US1 US340,,,"Atomic clocks, time receivers (DCF77, WWVB)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.01-25.07,0.0250-0.0251,kHz,,,,,US340,LAND MOBILE,US340 NG112,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.07-25.21,0.0251-0.0252,kHz,,,,MARITIME MOBILE US82,US281 US296 US340,MARITIME MOBILE US82,US281 US296 US340 NG112,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.21-25.33,0.0252-0.0253,kHz,,,,,US340,LAND MOBILE,US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.25-25.5,0.0253-0.0255,kHz,,,,FIXED | INTER-SATELLITE 5.536 | MOBILE | Standard frequency and time | signal-satellite (Earth-to-space),,Inter-satellite 5.536 | Standard frequency and time | signal-satellite (Earth-to-space),,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.33-25.55,0.0253-0.0255,kHz,,,,FIXED | MOBILE except aeronautical mobile,US340,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.5-27,0.0255-0.0270,kHz,,,,EARTH EXPLORATION- | SATELLITE (space-to-Earth) | FIXED | INTER-SATELLITE 5.536 | MOBILE | SPACE RESEARCH (space-to-Earth) | Standard frequency and time | signal-satellite (Earth-to-space),5.536A US258,SPACE RESEARCH | (space-to-Earth) | Inter-satellite 5.536 | Standard frequency and time | signal-satellite (Earth-to-space),5.536A US258,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.55-25.67,0.0255-0.0257,kHz,,,,RADIO ASTRONOMY US74,US342,,,"Radio telescopes, scientific receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
25.67-26.1,0.0257-0.0261,kHz,,,,BROADCASTING,US25 US340,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
26.1-26.175,0.0261-0.0262,kHz,,,,MARITIME MOBILE 5.132,US25 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
26.175-26.2,0.0262-0.0262,kHz,,,,,US340,LAND MOBILE,US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
26.2-26.42,0.0262-0.0264,kHz,FIXED | MOBILE except aeronautical | mobile | RADIOLOCATION 5.132A,,FIXED | MOBILE except aeronautical mobile | Radiolocation 5.132A,RADIOLOCATION US132A,US340,LAND MOBILE | RADIOLOCATION US132A,US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
26.42-27.5,0.0264-0.0275,kHz,FIXED | MOBILE except aeronautical | mobile,5.150,,,US340,LAND MOBILE,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
26.48-26.95,0.0265-0.0269,kHz,,,,FIXED | MOBILE except aeronautical mobile,US340,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
26.95-27.41,0.0269-0.0274,kHz,,,,,5.150 US340,FIXED,5.150 US340,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
27-27.5,0.0270-0.0275,kHz,FIXED | FIXED-SATELLITE (Earth-to-space) | INTER-SATELLITE 5.536 5.537 | MOBILE,,,FIXED | INTER-SATELLITE 5.536 | MOBILE,,Inter-satellite 5.536,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
27.41-27.54,0.0274-0.0275,kHz,,,,,US340,FIXED | LAND MOBILE,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
27.54-28,0.0275-0.0280,kHz,,,,FIXED | MOBILE,US298 US340,,US298 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
28-29.7,0.0280-0.0297,kHz,,,,,US340,AMATEUR | AMATEUR-SATELLITE,US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
29.5-29.9,0.0295-0.0299,kHz,FIXED-SATELLITE (Earth-to-space) | MOBILE-SATELLITE (Earth-to-space) | Earth exploration-satellite | (Earth-to-space) 5.541,5.484A 5.484B 5.516B 5.527A 5.539 5.525 5.526 5.527 5.529 5.540,FIXED-SATELLITE (Earth-to-space) | Earth exploration-satellite | (Earth-to-space) 5.541 | Mobile-satellite (Earth-to-space),,,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
29.7-29.89,0.0297-0.0299,kHz,,,,,US340,LAND MOBILE,US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
29.89-29.91,0.0299-0.0299,kHz,,,,FIXED | MOBILE,US340,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
29.91-30,0.0299-0.0300,kHz,,,,,US340,FIXED,US340,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
30-30.56,0.0300-0.0306,kHz,,,,FIXED | MOBILE,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
30-31,0.0300-0.0310,kHz,,,,FIXED-SATELLITE (Earth-to-space) | MOBILE-SATELLITE (Earth-to-space) | Standard frequency and time | signal-satellite (space-to-Earth),G117,Standard frequency and time | signal-satellite (space-to-Earth),,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
30.56-32,0.0306-0.0320,kHz,,,,,,FIXED | LAND MOBILE,NG124,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
31-31.3,0.0310-0.0313,kHz,,,,Standard frequency and time | signal-satellite (space-to-Earth),US211 US342,FIXED NG60 | MOBILE | Standard frequency and time | signal-satellite (space-to-Earth),US211 US342,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
31.3-31.8,0.0313-0.0318,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
31.5-31.8,0.0315-0.0318,kHz,EARTH EXPLORATION- | SATELLITE (passive) | RADIO ASTRONOMY | SPACE RESEARCH (passive),5.340,EARTH EXPLORATION- | SATELLITE (passive) | RADIO ASTRONOMY | SPACE RESEARCH (passive) | Fixed | Mobile except aeronautical mobile,,,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
31.8-32.3,0.0318-0.0323,kHz,,,,RADIONAVIGATION US69 | SPACE RESEARCH (deep space) | (space-to-Earth) US262,5.548 US211,SPACE RESEARCH (deep space) | (space-to-Earth) US262,5.548 US211,"GPS receivers, GNSS devices; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
32-33,0.0320-0.0330,kHz,,,,FIXED | MOBILE,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
32.3-33,0.0323-0.0330,kHz,,,,INTER-SATELLITE US278 | RADIONAVIGATION US69,5.548,,,"GPS receivers, GNSS devices; Satellite phones, VSAT terminals, satellite internet",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
33-34,0.0330-0.0340,kHz,,,,,,FIXED | LAND MOBILE,NG124,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
33-33.4,0.0330-0.0334,kHz,,,,RADIONAVIGATION US69,US360 G117,,,"GPS receivers, GNSS devices",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
33.4-34.2,0.0334-0.0342,kHz,,,,RADIOLOCATION,US360 G117,Radiolocation,US360,"Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
34-35,0.0340-0.0350,kHz,,,,FIXED | MOBILE,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
34.2-34.7,0.0342-0.0347,kHz,,,,RADIOLOCATION | SPACE RESEARCH (deep space) | (Earth-to-space) US262,US360 G34 G117,Radiolocation | Space research (deep space) | (Earth-to-space) US262,US360,"Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
34.7-35.5,0.0347-0.0355,kHz,,,,RADIOLOCATION,US360 G117,Radiolocation,US360,"Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
35-36,0.0350-0.0360,kHz,,,,,,FIXED | LAND MOBILE,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
35.5-36,0.0355-0.0360,kHz,,,,EARTH EXPLORATION-SATELLITE | (active) | RADIOLOCATION | SPACE RESEARCH (active),US360 G117,Earth exploration-satellite (active) | Radiolocation | Space research (active),US360,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
36-37,0.0360-0.0370,kHz,,,,FIXED | MOBILE,US220,,US220,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
37-37.5,0.0370-0.0375,kHz,,,,,,LAND MOBILE,NG124,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
37-38,0.0370-0.0380,kHz,,,,FIXED | MOBILE except aeronautical mobile | SPACE RESEARCH (space-to-Earth),US151,FIXED | MOBILE except aeronautical mobile,US151,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
37.5-38,0.0375-0.0380,kHz,,,,Radio astronomy,US342,LAND MOBILE | Radio astronomy,US342 NG59 NG124,"Radio telescopes, scientific receivers; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
38-38.25,0.0380-0.0382,kHz,,,,FIXED | MOBILE | RADIO ASTRONOMY,US81 US342,RADIO ASTRONOMY,US81 US342,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
38-38.6,0.0380-0.0386,kHz,,,,FIXED | MOBILE,,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE NG175,NG63,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
38.25-39.986,0.0382-0.0400,kHz,FIXED | MOBILE,,FIXED | MOBILE,FIXED | MOBILE,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
39-40,0.0390-0.0400,kHz,,,,,,LAND MOBILE,NG124,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
39.5-40,0.0395-0.0400,kHz,,,,FIXED-SATELLITE (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth),US382 G117,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE NG175,NG63 US382,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
40-40.02,0.0400-0.0400,kHz,,,FIXED | MOBILE | Space research,FIXED | MOBILE,5.150 US210 US220,,5.150 US210 US220,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
40-40.5,0.0400-0.0405,kHz,,,,EARTH EXPLORATION- | SATELLITE (Earth-to-space) | FIXED-SATELLITE (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth) | SPACE RESEARCH (Earth-to-space) | Earth exploration-satellite | (space-to-Earth),G117,FIXED-SATELLITE (space-to-Earth) | MOBILE-SATELLITE (space-to- | Earth),,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
40.5-41,0.0405-0.0410,kHz,FIXED | FIXED-SATELLITE (space-to- | Earth) 5.516B | BROADCASTING | BROADCASTING-SATELLITE | Mobile | Mobile-satellite (space-to-Earth),5.547,FIXED | FIXED-SATELLITE (space-to-Earth) | BROADCASTING | BROADCASTING-SATELLITE | Mobile,FIXED-SATELLITE (space-to-Earth) | Mobile-satellite (space-to-Earth),US211 G117,FIXED-SATELLITE (space-to-Earth) | BROADCASTING | BROADCASTING-SATELLITE | Fixed | Mobile | Mobile-satellite (space-to-Earth),US211,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
41-42.5,0.0410-0.0425,kHz,,,,,US211,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE | BROADCASTING | BROADCASTING-SATELLITE,US211,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
41.015-41.665,0.0410-0.0417,kHz,,,,FIXED | MOBILE | RADIOLOCATION US132A,US220,RADIOLOCATION US132A,US220,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
41.665-42,0.0417-0.0420,kHz,,,,FIXED | MOBILE,US220,,US220,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
42-42.5,0.0420-0.0425,kHz,FIXED | MOBILE,5.161,,,,FIXED | LAND MOBILE,NG124 NG141,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
42.5-43.5,0.0425-0.0435,kHz,,,,FIXED | FIXED-SATELLITE (Earth-to-space) | MOBILE except aeronautical mobile | RADIO ASTRONOMY,US342,RADIO ASTRONOMY,US342,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
43.35-44,0.0433-0.0440,kHz,,,,RADIOLOCATION US132A,,FIXED | LAND MOBILE | RADIOLOCATION US132A,NG124,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
43.5-45.5,0.0435-0.0455,kHz,,,,FIXED-SATELLITE (Earth-to-space) | MOBILE-SATELLITE (Earth-to-space),G117,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
44-46.6,0.0440-0.0466,kHz,,,,,,LAND MOBILE,NG124 NG141,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
45.5-46.9,0.0455-0.0469,kHz,,,,MOBILE | MOBILE-SATELLITE (Earth-to-space) | RADIONAVIGATION-SATELLITE,5.554,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
46.6-47,0.0466-0.0470,kHz,,,,FIXED | MOBILE,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
