freq_low_mhz,freq_high_mhz,country,region,service,status,application,footnotes,typical_devices,source,note
0.003700,0.004000,ITU,Region 1/2,FIXED,PRIMARY,,,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.003700,0.004000,ITU,Region 1/2,MOBILE except aeronautical mobile (R),Secondary,,,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004000,0.004100,USA,USA,FIXED,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004000,0.004100,USA,USA,MARITIME MOBILE,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004100,0.004400,USA,USA,MARITIME MOBILE,PRIMARY,,5.79A 5.109 5.110 5.130 5.131 5.132 US82 US296 US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,ITU,Region 1/2,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,ITU,Region 1/2,MOBILE except aeronautical,Secondary,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,ITU,Region 1/2,mobile (R),Secondary,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,ITU,Region 1/2,RADIOLOCATION,PRIMARY,,5.132A,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,ITU,Region 3,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,ITU,Region 3,MOBILE except aeronautical mobile,Secondary,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,ITU,Region 3,Radiolocation,Secondary,,5.132A,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,USA,USA,FIXED,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,USA,USA,MOBILE except aeronautical mobile (R),Secondary,,US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004400,0.004500,USA,USA,RADIOLOCATION,PRIMARY,,5.132A US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004500,0.004700,ITU,Region 3,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004500,0.004700,ITU,Region 3,MOBILE except aeronautical mobile,Secondary,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004500,0.004700,USA,USA,FIXED,PRIMARY,,US22 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004500,0.004700,USA,USA,MOBILE except aeronautical mobile (R),Secondary,,US22 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004700,USA,USA,AERONAUTICAL MOBILE (R),PRIMARY,,US282 US283 US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004700,USA,USA,AERONAUTICAL MOBILE (OR),PRIMARY,,US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,ITU,Region 1/2,FIXED,PRIMARY,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,ITU,Region 1/2,MOBILE except aeronautical mobile (R),Secondary,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,ITU,Region 1/2,BROADCASTING,PRIMARY,,5.113,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,ITU,Region 3,FIXED,PRIMARY,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,ITU,Region 3,BROADCASTING,PRIMARY,,5.113,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,ITU,Region 3,Land mobile,Secondary,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,USA,USA,FIXED,PRIMARY,,US340,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004700,0.004800,USA,USA,MOBILE except aeronautical mobile (R),Secondary,,US340,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004800,0.005000,USA,USA,FIXED,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004800,0.005000,USA,USA,MOBILE,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.004800,0.005000,USA,USA,FIXED,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Non-Fed),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005000,0.005000,USA,USA,STANDARD FREQUENCY AND TIME SIGNAL (5 MHz),Secondary,,US1 US340,"Atomic clocks, time receivers (DCF77, WWVB)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005000,0.005100,USA,USA,FIXED,PRIMARY,,US22 US340,"Point-to-point microwave links, satellite earth stations",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005100,0.005300,USA,USA,FIXED,PRIMARY,,US22 US212 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005100,0.005300,USA,USA,Mobile except aeronautical mobile,Secondary,,US212 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,ITU,Region 1/2,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,ITU,Region 1/2,MOBILE except aeronautical mobile,Secondary,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,ITU,Region 1/2,RADIOLOCATION,PRIMARY,,5.132A,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,ITU,Region 3,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,ITU,Region 3,MOBILE except aeronautical mobile,Secondary,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,ITU,Region 3,Radiolocation,Secondary,,5.132A,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,USA,USA,FIXED,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,USA,USA,MOBILE except aeronautical mobile,Secondary,,US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005300,USA,USA,RADIOLOCATION,PRIMARY,,5.132A US340,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005400,USA,USA,FIXED,PRIMARY,,US22 US23 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005300,0.005400,USA,USA,Mobile except aeronautical mobile,Secondary,,US23 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005400,0.005500,ITU,Region 1/2,AERONAUTICAL MOBILE (R),PRIMARY,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005400,0.005500,ITU,Region 3,FIXED,PRIMARY,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005400,0.005500,ITU,Region 3,AERONAUTICAL MOBILE (OR),PRIMARY,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005400,0.005500,ITU,Region 3,LAND MOBILE,PRIMARY,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005400,0.005500,USA,USA,AERONAUTICAL MOBILE (R),PRIMARY,,5.111 5.115 US283 US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005700,0.005700,USA,USA,AERONAUTICAL MOBILE (OR),PRIMARY,,5.111 5.115 US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005700,0.005900,ITU,Region 1/2,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005700,0.005900,ITU,Region 1/2,MOBILE except aeronautical mobile (R),Secondary,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005700,0.005900,ITU,Region 3,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005700,0.005900,ITU,Region 3,Mobile except aeronautical mobile (R),Secondary,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005700,0.005900,USA,USA,FIXED,PRIMARY,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005700,0.005900,USA,USA,MOBILE except aeronautical mobile (R),Secondary,,US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.005900,0.006200,USA,USA,BROADCASTING,PRIMARY,,5.134 US136 US340,"AM/FM radios, DAB receivers, TV sets",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.006200,0.006500,USA,USA,MARITIME MOBILE,PRIMARY,,5.109 5.110 5.130 5.132 US82 US296 US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.006500,0.006700,USA,USA,AERONAUTICAL MOBILE (R),PRIMARY,,US283 US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.006700,0.006800,USA,USA,AERONAUTICAL MOBILE (OR),PRIMARY,,US340,"Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.006800,0.007000,USA,USA,FIXED,PRIMARY,,US22 5.138 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.006800,0.007000,USA,USA,MOBILE except aeronautical mobile (R),Secondary,,5.138 US340,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.007000,0.007200,USA,USA,AMATEUR,PRIMARY,,US340,"Ham radio transceivers, SDR receivers",FCC 47 CFR 2.106 (Non-Fed),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.007000,0.007200,USA,USA,AMATEUR-SATELLITE,PRIMARY,,US340,"Ham radio transceivers, SDR receivers",FCC 47 CFR 2.106 (Non-Fed),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.007200,0.007300,ITU,Region 1/2,AMATEUR,PRIMARY,,,"Ham radio transceivers, SDR receivers",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.007200,0.007300,USA,USA,AMATEUR,PRIMARY,,US142 US340,"Ham radio transceivers, SDR receivers",FCC 47 CFR 2.106 (Non-Fed),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.007300,0.007400,USA,USA,BROADCASTING,PRIMARY,,5.134 US136 US340,"AM/FM radios, DAB receivers, TV sets",FCC 47 CFR 2.106 (Federal),EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.007400,0.007500,ITU,Region 1/2,FIXED,PRIMARY,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
0.007400,0.007500,ITU,Region 1/2,MOBILE except aeronautical mobile (R),Secondary,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",ITU Radio Regulations,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
